name	type	len_te	len_match	N	missmatch_anno	match	match_anno	len_matchRM	match_RM
Os0001_Olo24	Unknown	343		2056	0	0	1	338	0.985422740524781
Os0002_Gaijin	Unknown	140	139	513	0	0.992857142857143	1	139	0.992857142857143
Os0003	Unknown	235		4816	0	0	1	234	0.995744680851064
Os0004_Gaijin	Unknown	147		4783	0	0	1	139	0.945578231292517
Os0005	Unknown	150		5801	0	0	1	149	0.993333333333333
Os0006	SINE/ID	289		332	1	0	0.996539792387543		0
Os0007_Castaway	Unknown	364	360	2806	0	0.989010989010989	1	363	0.997252747252747
Os0008_INT	LTR/Copia	6781	5048	394	1	0.744432974487539	0.999852529125498	5048	0.744432974487539
Os0008_LTR	Unknown	1217	1216	1245	0	0.999178307313065	1	1216	0.999178307313065
Os0009	Unknown	349		1916	0	0	1	348	0.997134670487106
Os0010	Unknown	219		1612	0	0	1		0
Os0011	Unknown	1039		125	1	0	0.999037536092396	659	0.634263715110683
Os0012	Unknown	256		1965	0	0	1		0
Os0013	Unknown	785		510	0	0	1	731	0.931210191082803
Os0014	DNA/CMC-EnSpm	11331	11181	1772	12	0.986761980407731	0.998940958432618	5265	0.464654487688642
Os0015	Unknown	332	286	1822	0	0.86144578313253	1	331	0.996987951807229
Os0016_INT	LTR/Gypsy	10716	10715	621	0	0.999906681597611	1	8638	0.80608435983576
Os0016_LTR	Unknown	1087	1086	1025	0	0.999080036798528	1	1086	0.999080036798528
Os0017_Ditto	Unknown	244		4231	0	0	1	243	0.995901639344262
Os0018_Wanderer	Unknown	243	197	5473	0	0.810699588477366	1	216	0.888888888888889
Os0019_INT	LTR/Gypsy	10802		820	3	0	0.999722273653027	10801	0.999907424551009
Os0019_LTR	Unknown	1512		999	0	0	1	1511	0.999338624338624
Os0020_INT_Bajie	Unknown	2635		574	2	0	0.999240986717268	1259	0.477798861480076
Os0020_LTR_Bajie	Unknown	696		862	0	0	1	695	0.998563218390805
Os0021	Unknown	255		4129	0	0	1	203	0.796078431372549
Os0022	Unknown	1830		203	36	0	0.980327868852459	1690	0.923497267759563
Os0023	Unknown	1450		1159	302	0	0.791724137931035	427	0.29448275862069
Os0024	Unknown	244		3207	0	0	1	222	0.909836065573771
Os0025_INT	LINE/RTE-BovB	6162		716	1	0	0.999837715027588	6160	0.999675430055177
Os0025_LTR	Unknown	1495	47	1343	0	0.031438127090301	1	1494	0.99933110367893
Os0026	Unknown	239		3808	0	0	1		0
Os0027	Unknown	85		207	0	0	1		0
Os0028_INT	LTR/Copia	4409	4408	136	22	0.999773191199819	0.995010206396008	4408	0.999773191199819
Os0028_LTR	Unknown	997	996	241	0	0.998996990972919	1	794	0.796389167502508
Os0029	Unknown	292	65	763	0	0.222602739726027	1	291	0.996575342465753
Os0030_INT_RIRE2	LTR/Gypsy	10437	10436	806	0	0.999904187026923	1	9853	0.944045223723292
Os0030_LTR_RIRE2	Unknown	441	440	749	0	0.997732426303855	1	440	0.997732426303855
Os0031	Unknown	344	335	2132	0	0.973837209302325	1	335	0.973837209302325
Os0032_INT	LTR/Gypsy	10226	95	500	1	0.00929004498337571	0.999902210052807	6810	0.665949540387248
Os0032_LTR	Unknown	561		738	0	0	1	560	0.998217468805704
Os0033	Unknown	2086	1143	247	1	0.547938638542665	0.999520613614573	2085	0.999520613614573
Os0034_INT	LTR/Gypsy	5338		2	1	0	0.999812663919071		0
Os0034_LTR	Unknown	448		5	1	0	0.997767857142857		0
Os0035	DNA/MULE-MuDR	2665	1808	27	1	0.678424015009381	0.999624765478424		0
Os0037	Unknown	260		2314	0	0	1	259	0.996153846153846
Os0038_INT	Unknown	206		263	0	0	1	205	0.995145631067961
Os0038_LTR	Unknown	281	261	1154	0	0.928825622775801	1	280	0.99644128113879
Os0039_INT_RIRE3	LTR/Gypsy	5791	5790	532	7	0.999827318252461	0.998791227767225	5790	0.999827318252461
Os0039_LTR_RIRE3	Unknown	3139	3137	1408	0	0.999362854412233	1	3138	0.999681427206117
Os0040_INT	LTR/Gypsy	9817	417	1013	561	0.0424773352347968	0.942854232453907	4131	0.420800651930325
Os0040_LTR	Unknown	513		243	0	0	1	512	0.998050682261209
Os0041_INT	LTR/Copia	3116		3	1	0	0.999679075738126		0
Os0041_LTR	Unknown	135		2	1	0	0.992592592592593		0
Os0042_INT	Unknown	1396		13	1	0	0.999283667621776		0
Os0042_LTR	Unknown	126		15	0	0	1		0
Os0043	Unknown	100		1067	0	0	1		0
Os0044	LINE/L1	3376		1257	1	0	0.999703791469194	3375	0.999703791469194
Os0045_INT	Unknown	1912		51	405	0	0.788179916317992	430	0.22489539748954
Os0046_LTR	Unknown	1556		271	123	0	0.920951156812339		0
Os0047	Unknown	154		284	0	0	1		0
Os0048	Unknown	829		786	10	0	0.987937273823884	66	0.0796139927623643
Os0049	Unknown	263	262	602	0	0.996197718631179	1	262	0.996197718631179
Os0050	Unknown	2725	174	103	12	0.0638532110091743	0.995596330275229	2309	0.847339449541284
Os0051	Unknown	1415		146	2	0	0.998586572438163		0
Os0052	DNA/CMC-EnSpm	9838	5498	476	144	0.558853425492987	0.985362878633869	4653	0.472961984143119
Os0053	Unknown	234		804	0	0	1		0
Os0054	Unknown	183		405	0	0	1		0
Os0055	Unknown	506		279	0	0	1	505	0.99802371541502
Os0057_INT	LTR/Copia	7068	7067	32	0	0.999858517260894	1	7067	0.999858517260894
Os0057_LTR	Unknown	1619	1618	57	1	0.999382334774552	0.999382334774552	1618	0.999382334774552
Os0058_INT	LTR/Gypsy	4817		6	1	0	0.999792401909902		0
Os0058_LTR	Unknown	365		2	1	0	0.997260273972603		0
Os0059	Unknown	305		344	0	0	1		0
Os0060_INT	LTR/Gypsy	2824	2823	249	0	0.999645892351275	1	2823	0.999645892351275
Os0060_LTR	Unknown	793	792	739	0	0.998738965952081	1	792	0.998738965952081
Os0061	Unknown	308		551	1	0	0.996753246753247		0
Os0062	Unknown	147		5443	0	0	1		0
Os0063	Unknown	259	148	1018	0	0.571428571428571	1	148	0.571428571428571
Os0064	Unknown	262		1029	0	0	1	261	0.99618320610687
Os0065	Unknown	310		326	0	0	1		0
Os0066	Unknown	374		83	1	0	0.997326203208556		0
Os0067	Unknown	164		837	0	0	1		0
Os0068	Unknown	259	125	381	0	0.482625482625483	1		0
Os0069	Unknown	244	243	447	0	0.995901639344262	1		0
Os0070	Unknown	371		490	0	0	1	364	0.981132075471698
Os0071	Unknown	255	253	355	0	0.992156862745098	1		0
Os0072	Unknown	313		453	0	0	1	312	0.996805111821086
Os0073	Unknown	229		2102	0	0	1		0
Os0074	Unknown	219		1293	0	0	1		0
Os0075	Unknown	216		609	0	0	1		0
Os0076_INT	LTR/Copia	4501	4500	376	0	0.999777827149522	1	4500	0.999777827149522
Os0076_LTR	Unknown	973	972	1104	0	0.998972250770812	1	972	0.998972250770812
Os0077_INT	LTR/Gypsy	6165	4652	157	0	0.754582319545823	1	6164	0.999837793998378
Os0077_LTR	DNA/hAT-Tip100	3988	3401	1202	0	0.852808425275828	1	3987	0.99974924774323
Os0078_INT	Unknown	1843		57	1	0	0.999457406402604	667	0.361909929462832
Os0079_INT	LTR/Gypsy	4984		7	2360	0	0.526484751203852		0
Os0079_LTR	Unknown	401		2	0	0	1		0
Os0080	Unknown	110		209	0	0	1	98	0.890909090909091
Os0081_INT	Unknown	1915		8	449	0	0.765535248041775	796	0.415665796344648
Os0081_LTR	Unknown	346		13	0	0	1		0
Os0082_LTR	Unknown	423		16	0	0	1		0
Os0083_LTR	Unknown	965	964	161	0	0.998963730569948	1	964	0.998963730569948
Os0084	Unknown	379		2166	0	0	1	361	0.952506596306069
Os0085	Unknown	348		214	0	0	1		0
Os0086	Unknown	428		867	0	0	1	427	0.997663551401869
Os0087	Unknown	391	390	663	0	0.997442455242967	1	390	0.997442455242967
Os0088_INT	LTR/Gypsy	5616	590	31	722	0.10505698005698	0.871438746438746	1263	0.224893162393162
Os0088_LTR	Unknown	3278	3153	213	3	0.961866992068334	0.99908480780964	3150	0.960951799877974
Os0089	Unknown	743	742	334	0	0.998654104979811	1	617	0.830417227456259
Os0090	Unknown	258		520	0	0	1		0
Os0091	Unknown	346		247	0	0	1		0
Os0092	Unknown	199		192	0	0	1		0
Os0093	Unknown	284		274	0	0	1		0
Os0094	Unknown	146		743	0	0	1		0
Os0095	Unknown	260	259	809	0	0.996153846153846	1		0
Os0096_INT	Unknown	528		112	17	0	0.96780303030303	65	0.123106060606061
Os0096_LTR	Unknown	202		267	0	0	1		0
Os0097_INT	LTR/Copia	4329		6	1	0	0.999768999769	2395	0.553245553245553
Os0097_LTR	Unknown	406		11	1	0	0.997536945812808		0
Os0098	Unknown	384	374	362	0	0.973958333333333	1	383	0.997395833333333
Os0099_INT	Unknown	2172	277	142	2	0.127532228360958	0.999079189686924	1068	0.49171270718232
Os0099_LTR	Unknown	176		226	0	0	1	175	0.994318181818182
Os0100	Unknown	1434		1077	0	0	1	1111	0.774755927475593
Os0101_INT	LTR/Copia	4019	3524	74	1	0.876835033590445	0.999751181886041	3524	0.876835033590445
Os0101_LTR	Unknown	319		218	1	0	0.996865203761755	318	0.996865203761755
Os0102	Unknown	158		393	0	0	1		0
Os0103	Unknown	155		779	0	0	1		0
Os0104	Unknown	256		598	0	0	1	73	0.28515625
Os0105	Unknown	600	375	802	135	0.625	0.775	375	0.625
Os0106	Unknown	123		946	0	0	1		0
Os0107_INT	LTR/Gypsy	4311		6	677	0	0.842959870099745		0
Os0107_LTR	Unknown	348		10	1	0	0.997126436781609		0
Os0108	Unknown	489		243	0	0	1	485	0.991820040899795
Os0109	Unknown	825		322	1	0	0.998787878787879	819	0.992727272727273
Os0110_INT	LTR/Copia	4375		17	1	0	0.999771428571428	4268	0.975542857142857
Os0110_LTR	Unknown	406		20	1	0	0.997536945812808	405	0.997536945812808
Os0111_INT	LTR/Gypsy	4424		8	1	0	0.999773960216998		0
Os0111_LTR	Unknown	378		18	0	0	1		0
Os0112	Unknown	268		311	0	0	1		0
Os0113	Unknown	179		322	0	0	1		0
Os0114	Unknown	252		705	0	0	1		0
Os0115	Unknown	854		156	0	0	1		0
Os0116	Unknown	692		95	1	0	0.998554913294798	128	0.184971098265896
Os0117	DNA/IS3EU	707		702	1	0	0.998585572842999		0
Os0118_LTR	Unknown	843		134	20	0	0.976275207591934		0
Os0119_INT	LTR/Gypsy	5385	5384	209	0	0.999814298978644	1	5384	0.999814298978644
Os0119_LTR	Unknown	3147	3145	835	0	0.99936447410232	1	3146	0.99968223705116
Os0120	Unknown	589		202	0	0	1	588	0.99830220713073
Os0121_LTR	Unknown	1205		116	72	0	0.940248962655602	576	0.478008298755187
Os0122	Unknown	484		232	1	0	0.997933884297521	481	0.993801652892562
Os0123	Unknown	635	371	364	0	0.584251968503937	1	634	0.998425196850394
Os0124	Unknown	256		657	0	0	1		0
Os0125	Unknown	286		553	0	0	1		0
Os0126	Unknown	312	122	294	0	0.391025641025641	1	265	0.849358974358974
Os0127	Unknown	671		127	2	0	0.997019374068554	670	0.998509687034277
Os0128_INT	LTR/Copia	4915		12	1	0	0.999796541200407		0
Os0128_LTR	Unknown	156		16	1	0	0.993589743589744		0
Os0129	DNA/CMC-EnSpm	11635	5022	633	2	0.431628706489042	0.999828104856038	5421	0.465921787709497
Os0130_INT	LTR/Copia	4390		2	2107	0	0.52004555808656	1570	0.357630979498861
Os0130_LTR	Unknown	350		6	1	0	0.997142857142857		0
Os0131	Unknown	376		570	0	0	1		0
Os0132_INT	Unknown	2304		14	92	0	0.960069444444444		0
Os0132_LTR	Unknown	355		7	1	0	0.997183098591549		0
Os0133_INT	LTR/Gypsy	3342	3341	37	0	0.999700777977259	1	3341	0.999700777977259
Os0134_INT	Unknown	1915		7	374	0	0.804699738903394	796	0.415665796344648
Os0134_LTR	Unknown	353		14	0	0	1		0
Os0135_INT	Unknown	2228		25	1	0	0.999551166965889	1854	0.83213644524237
Os0135_LTR	Unknown	349		12	1	0	0.997134670487106		0
Os0136_INT	LTR	2056		9	0	0	1	718	0.349221789883269
Os0136_LTR	Unknown	4707	2566	298	1	0.545145527937115	0.999787550456766	3581	0.760781814319099
Os0137_INT	LTR/Gypsy	2997		241	290	0	0.903236569903236	1544	0.515181848515182
Os0137_LTR	DNA/hAT-Ac	955		612	0	0	1	954	0.998952879581152
Os0138	Unknown	464		325	0	0	1		0
Os0139_INT	LTR/Gypsy	9392	2985	75	708	0.317823679727428	0.924616695059625	3612	0.38458262350937
Os0139_LTR	Unknown	984	404	154	0	0.410569105691057	1	983	0.998983739837398
Os0140_INT	LTR/Gypsy	4784		7	574	0	0.880016722408027		0
Os0140_LTR	Unknown	365		7	1	0	0.997260273972603		0
Os0141_LTR	Unknown	3108	1720	345	1	0.553410553410553	0.99967824967825	3107	0.99967824967825
Os0142_LTR	Unknown	3424	3423	495	0	0.999707943925234	1	3423	0.999707943925234
Os0143_INT	LTR/Gypsy	4825		10	1	0	0.99979274611399		0
Os0143_LTR	Unknown	324		6	1	0	0.996913580246914		0
Os0144	LINE/L1	2254	945	555	8	0.419254658385093	0.996450754214729	1721	0.763531499556344
Os0145	LINE/L1	1830		209	41	0	0.977595628415301	1154	0.630601092896175
Os0146_INT	LTR/Copia	5134	382	18	1	0.0744059213089209	0.999805220101286	1318	0.256719906505649
Os0146_LTR	Unknown	168		14	1	0	0.994047619047619	167	0.994047619047619
Os0147	DNA/hAT-Ac	4259		341	1	0	0.999765203099319	185	0.0434374266259685
Os0148	DNA/MULE-MuDR	7371	6213	398	0	0.842897842897843	1	3939	0.534391534391534
Os0149_INT	LTR/Gypsy	4340		2	0	0	1		0
Os0149_LTR	Unknown	342		5	1	0	0.997076023391813		0
